Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
J1,Conn_01x03,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,152.5,-70.525,0.0,top
J2,Conn_01x03,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,178.225,-92.6,-90.0,top
J3,Conn_01x02,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,156.3,-119.175,180.0,top
R1,1K,R_0805_2012Metric,176.0,-84.25,180.0,top
R2,10K,R_0805_2012Metric,176.0,-88.45,180.0,top
S1,SS56,D_SMC,130.2,-95.05,90.0,top
S2,MDD DSK24,D_SOD-123F,168.9,-73.35,180.0,top
Z1,BZT52C5V1S,D_SOD-323,176.0,-86.35,180.0,top
Z2,BZT52C5V1S,D_SOD-323,176.0,-82.15,0.0,top
