Designator,Val,Package,Mid X,Mid Y,Rotation,Side
R1,1K,R_0805_2012Metric,176.1,-83.8,180,top
R2,10K,R_0805_2012Metric,176.1,-88,180,top
SBD1,SS56,D_SMA,130.2,-95.05,90,top
SBD2,MDD DSK24,D_SMA,164.45,-72.85,180,top
ZD1,BZT52C5V1S,D_SOD-323,176.1,-85.9,180,top
ZD2,BZT52C5V1S,D_SOD-323,176.1,-81.7,0,top
