Comment,Designator,Footprint,LCSC
10K,R2,R_1206_3216Metric,C17902
SS54,SBD1,D_SMA,C22452
BZT52C5V1S,"ZD1,ZD2",D_SOD-323,C2910089
1K,R1,R_1206_3216Metric,C4410
SS34,SBD2,D_SMA,C8678
MOTOR,J2,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,
INPUT,J1,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,
FAN,J3,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,
